"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* rm_injection.exe*",".{0,1000}\srm_injection\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","0","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"* rt_hijacking.exe*",".{0,1000}\srt_hijacking\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","0","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"* self_deletion.exe*",".{0,1000}\sself_deletion\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","0","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"* shellcode_callback.exe*",".{0,1000}\sshellcode_callback\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","0","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"* wmi_exec.exe*",".{0,1000}\swmi_exec\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","0","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/anti_analysis.exe*",".{0,1000}\/anti_analysis\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/anti_debug.exe*",".{0,1000}\/anti_debug\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/apc_injection.exe*",".{0,1000}\/apc_injection\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/api_hooking.exe*",".{0,1000}\/api_hooking\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/args_spoofing-rs.exe*",".{0,1000}\/args_spoofing\-rs\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/block_dll_policy.exe*",".{0,1000}\/block_dll_policy\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/command_exec.exe*",".{0,1000}\/command_exec\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/dllinjection_rs.exe*",".{0,1000}\/dllinjection_rs\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/ebapc_injection.exe*",".{0,1000}\/ebapc_injection\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/enable_all_tokens.exe*",".{0,1000}\/enable_all_tokens\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/encryption_aes.exe*",".{0,1000}\/encryption_aes\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/encryption_rc4.exe*",".{0,1000}\/encryption_rc4\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/enumeration_process.exe*",".{0,1000}\/enumeration_process\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/execute_shellcode.exe*",".{0,1000}\/execute_shellcode\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/extract_wifi.exe*",".{0,1000}\/extract_wifi\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/iat_obfuscation.exe*",".{0,1000}\/iat_obfuscation\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/lfs_injection.exe*",".{0,1000}\/lfs_injection\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
"*/local_execution_linux.exe*",".{0,1000}\/local_execution_linux\.exe.{0,1000}","offensive_tool_keyword","RustRedOps","RustRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team","T1027.002  - T1053.005 - T1204.002 - T1588.002","TA0005 - TA0002 - TA0003 - TA0042","N/A","N/A","Exploitation tools","https://github.com/joaoviictorti/RustRedOps","1","1","N/A","10","10","1001","110","2024-06-30T20:20:10Z","2023-11-29T16:07:06Z"
